category,timein
breakfast,8:30AM
breakfast,8:30AM
breakfast,8:30AM
breakfast,8:30AM
breakfast,8:30AM
dinner,7:00PM
dinner,7:00PM
breakfast,8:30AM
breakfast,8:30AM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
snacks,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
lunch,12:30PM
snacks,10:00AM
snacks,10:00AM
snacks,10:00AM
snacks,10:00AM
snacks,10:00AM
snacks,10:00AM
snacks,12:30PM
snacks,12:30PM
snacks,12:30PM
snacks,12:30PM
lunch,12:30PM
lunch,12:30PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
juice,10:00AM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
snacks,4:00PM
